Question,Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points,Description
A man calls the teleshop. What is the teleshop number?,Multiple choice,102030,201030,301020,,201030,1,"Người gọi nhớ số điện thoại của cửa hàng là ""201030""."
A man is talking to a shopping assistant. What color top is he going to buy?,Multiple choice,Green,Blue,Black,,Black,1,"Người đàn ông chọn màu đen vì màu xanh chỉ còn size nhỏ, còn đỏ và đen có size lớn."
Two people are talking about meeting for dinner. What time does Ahmed meet Rose?,Multiple choice,Half past seven,Quarter past seven,Quarter to eight,,Quarter to eight,1,"Ahmed và Rose quyết định gặp nhau lúc ""quarter to eight"" sau khi thay đổi kế hoạch."
A person calls a friend about his new car. How much does the small car cost him?,Multiple choice,3250 pounds,3550 pounds,4250 pounds,,3250 pounds,1,Người gọi cho bạn đã mua chiếc xe nhỏ với giá 3.250 bảng.
Listen to a woman talk about someone she knows. What is their relationship?,Multiple choice,Best friends,Mother and daughter,Teacher and student,,Best friends,1,"Người phụ nữ và Lisa là bạn thân, không phải mẹ con."
A man is calling his sister. Where are they going to meet?,Multiple choice,At the university,At the station,At the park,,At the park,1,Người đàn ông muốn gặp chị gái tại công viên.
Jana is talking to her friend. What does Jana's sister look like?,Multiple choice,Curly hair,Short,Thin,,Short,1,Chị Jana thấp và có tóc thẳng.
A man is talking about his family trip. What does the man's wife enjoy?,Multiple choice,walking,shopping,photography,,photography,1,Vợ của người đàn ông thích chụp ảnh khi đi du lịch.
A man is talking about the city concert. How will the concert end?,Multiple choice,The city's favorite group,Fireworks performance,Singing from orchestra,,The city's favorite group,1,Buổi hòa nhạc sẽ kết thúc với nhóm nhạc yêu thích của thành phố biểu diễn.
Listen to a message. Why does Vincent call James?,Multiple choice,To say hello,To suggest a drink,To arrange meeting,,To suggest a drink,1,Vincent gọi để mời James uống một ly.
Anna calls her brother Max. What does she have to do?,Multiple choice,Stay late at the office,Pick up her kids,Hang out with friends,,Stay late at the office,1,Anna phải làm việc muộn tại văn phòng.
A woman is talking about her job. What Encouraged her to become a scientist?,Multiple choice,Her mother,A large stone,The computer,,A large stone,1,Một viên đá lớn đã khơi dậy sự tò mò của người phụ nữ về địa chất.
A man is talking about his trip. What did he enjoy last year?,Multiple choice,Go for a walk,Go picnic,Go cycling,,Go cycling,1,Người đàn ông rất thích đạp xe khi đi du lịch.
Listen to a woman explaining why she was late. What is the main reason she gets late?,Multiple choice,Overslept,Forgot something,Missed the train,,Missed the train,1,Lý do chính khiến cô ấy bị trễ là do bỏ lỡ chuyến tàu.
Listen to a friend talking about selling her music player. How much did she sell it for?,Multiple choice,50 dollars,60 dollars,40 dollars,,50 dollars,1,Cô ấy quyết định bán máy nghe nhạc với giá 50 đô la.
Listen to a woman asking about a flight. How much does the flight in the morning cost?,Multiple choice,300 pounds,350 pounds,400 pounds,,350 pounds,1,Cô gái chọn chuyến bay buổi sáng có giá 350 bảng vì phù hợp thời gian.
Listen to a man talking about their train journey. What time did the train depart?,Multiple choice,9:00,9:30,10:00,,9:30,1,"Mặc dù có chút chậm trễ, tàu đã khởi hành lúc 9:30."
Alice is calling her friend. What did she lose?,Multiple choice,A book,A laptop,A phone,,A phone,1,Alice không thể tìm thấy điện thoại của mình.
Dr. Smith's office calls to change an appointment. Which day is the appointment?,Multiple choice,On Thursday 13th,On Thursday 30th,On Friday 14th,,On Thursday 13th,1,"Cuộc hẹn đã được dời lại vào ngày thứ Năm, 13."
A tour guide is talking about the vacation list of activities. What can people do in the afternoon?,Multiple choice,Join a dance class,Play golf,Go shopping,,Play golf,1,Buổi chiều có hoạt động chơi golf; lớp nhảy được tổ chức vào buổi tối.
Helen is calling a friend about the place her whole family is standing while seeing her off to college. Where are they standing?,Multiple choice,Library complex,University area,Residential area,,Residential area,1,"Helen nói gia đình cô ấy đang ở khu vực có nhiều nhà ở/căn hộ, gần nhưng không ngay cạnh trường đại học."
"Listen to a girl calling the cafe. What did she forget, and where did she leave it?",Multiple choice,on the counter,in the corner,near the door,,in the corner,1,Người phụ nữ nghĩ rằng mình đã để quên đồ ở góc quán cafe.
Listen to Anna talking about her routine. Where does Anna go for a walk every morning?,Multiple choice,park,neighborhood,college,,college,1,Anna chọn đi bộ quanh trường đại học vào mỗi buổi sáng thay vì đi quanh khu phố.
A receptionist is checking the client list of a clinic. How many clients are Americans?,Multiple choice,One,Two,Three,,One,1,"Trong danh sách, chỉ có Leslie là người Mỹ; các khách hàng khác đến từ Anh và Pháp."
A woman is talking about her house. What is she going to change in their house?,Multiple choice,The window,The car,The computer,,The window,1,"Người phụ nữ muốn thay cửa sổ vì nó quá lớn, làm ánh sáng chiếu vào nhiều khiến xe và máy tính bị nóng."
A professor is talking to his student. What does the professor ask his student to do?,Multiple choice,Speak at a conference,Write another thesis,Tutor another student,,Speak at a conference,1,Giáo sư khuyên sinh viên tham gia thuyết trình tại hội nghị.
Two friends are talking about their favorite activities. What is the woman's favorite form of entertainment?,Multiple choice,Reading books,Going to the theatre,Playing chess with her cousin,,Going to the theatre,1,Cô ấy thích đi nhà hát nhất.
A man is talking about his routine after work. What is the man going to do after work?,Multiple choice,Goes running,Cycles home,Meets his client,,Goes running,1,Anh ấy đi chạy sau giờ làm việc.
Jorge is calling his friend about their plan for the weekend. What time does the football match start?,Multiple choice,11 p.m,1 p.m,6 p.m,,1 p.m,1,Trận bóng đá bắt đầu lúc 1 giờ chiều.
A man and a woman are talking about their old school days. What was the man's favorite thing about school?,Multiple choice,Math classes,Geography classes,History classes,,History classes,1,Anh ấy thích các lớp lịch sử nhất.
A tour guide is introducing a tourist destination. How many people live in the town?,Multiple choice,"8,000","9,000","10,000",,"10,000",1,Có 10.000 người sống trong thị trấn.
James is talking about his family members. In what way does his mother and his aunt alike?,Multiple choice,They were both thin.,They both had blue eyes.,They both had long hair.,,They were both thin.,1,James nói rằng mẹ anh ấy và dì đều gầy khi còn trẻ.
Julie is asking her professor about the assignment. When is the work due?,Multiple choice,On Thursday morning,On Friday morning,On Saturday morning,,On Saturday morning,1,Hạn nộp bài là sáng thứ Bảy.
A man is talking about his eating habit. What time does he usually eat?,Multiple choice,6 o'clock,7 o'clock,8 o'clock,,7 o'clock,1,Anh ấy thường ăn tối lúc 7 giờ.
A man is calling his wife. Where will they meet?,Multiple choice,At home,In the garden,Outside the shop,,Outside the shop,1,Họ sẽ gặp nhau ở bên ngoài cửa hàng đối diện nhà ga.
Jack is calling to invite a friend to his house. What color is Jack's house?,Multiple choice,Blue,Green,Red,,Red,1,Nhà của Jack màu đỏ.
An author is talking about her daily routine. When does she usually write?,Multiple choice,In the mornings,In the afternoons,In the evenings,,In the afternoons,1,"Tác giả thường viết vào buổi chiều, khoảng 2 giờ."
A mom is calling her son to remind him about picking up groceries. How much is an egg?,Multiple choice,£1.50 (One pound fifty),£2.50 (Two pounds fifty),£3.50 (Three pounds fifty),,£1.50 (One pound fifty),1,Giá một quả trứng là £1.50.
What does he advise young people to do to save money?,Multiple choice,Buy things online,Save money,Cook for yourself,,Cook for yourself,1,
Listen to two friends talk about the woman's holiday. What did the woman do on holiday?,Multiple choice,Go to the city,Go to the park,Go to the cinema,,Go to the park,1,
Listen to a man talk about some activities. What did he like doing last year?,Multiple choice,Cycling,Bowling,Playing golf,,Cycling,1,
Listen to the announcement. What time is the train leaving?,Multiple choice,09.30,10.15,11.00,,09.30,1,
How much does a bus card cost?,Multiple choice,20 dollars,15 dollars,10 dollars,,20 dollars,1,
How much money is left in the kitchen?,Multiple choice,5 pounds,8 pounds,10 pounds,,10 pounds,1,
What bus number stops near the boy's home?,Multiple choice,Six,Eight,Nine,,Eight,1,
What time is dinner?,Multiple choice,7:00 pm,7:30 pm,8:00 pm,,7:30 pm,1,
What time do they arrange the meeting?,Multiple choice,5:15 pm,5:30 pm,5:40 pm,,5:30 pm,1,
A girl is talking about a show she will attend. What will end with?,Multiple choice,A surprise performance,A boring performance,A party,,A surprise performance,1,
How many brothers and sisters are there?,Multiple choice,2,3,4,,2,1,
What will they do after the meeting?,Multiple choice,Go to a cafe,Have lunch,Get back to work,,Have lunch,1,
Tom is talking with his friend about his teachers. Who is his favorite teacher?,Multiple choice,Mr John,Mr Alex,Miss Brown,,Miss Brown,1,
A saleswoman is talking to a customer about a house. What is not original?,Multiple choice,Floor,Furniture,Architecture,,Furniture,1,Đồ nội thất không phải nguyên bản mà được thay thế.
Listen to the announcement from a travel agent representative. Why is the air travel cancelled?,Multiple choice,Engine failure,Poor weather conditions,Delay at transit spot,,Poor weather conditions,1,Chuyến bay bị hủy do thời tiết xấu.
A tour guide is talking about the group's traveling schedule. Where will the group wait for the bus?,Multiple choice,by the hotel's side entrance,behind the hotel's main entrance,by the hotel's main entrance,,by the hotel's main entrance,1,Nhóm sẽ đợi xe buýt ở cửa chính của khách sạn.
Pierre and Emma are talking together about the picnic on the weekend. What will they bring to the picnic?,Multiple choice,Drinks,Salads,Food,,Food,1,Pierre và Emma quyết định mang đồ ăn đến buổi picnic.
Two friends are talking about their school days. What was the woman good at?,Multiple choice,Swimming,Plays football,Running,,Plays football,1,Người phụ nữ giỏi chơi bóng đá và từng ở trong đội bóng của trường.
A tour guide is talking about birds' behaviors. What do birds do in the winter?,Multiple choice,Stay together for group protection,Building nests,Migrate to a new place,,Stay together for group protection,1,"Vào mùa đông, chim ở chung nhóm để bảo vệ lẫn nhau."
A man and a woman are talking about driving. Why did the man learn to drive?,Multiple choice,He lost his driving license.,He has to drive to work.,He bought a new car.,,He has to drive to work.,1,Anh ấy cần học lái xe vì chỗ ở mới xa nơi làm việc và giao thông công cộng không thuận tiện.
An expert is talking about lack of satisfaction at work. What did she advice for people who lack motivation at work?,Multiple choice,Raise the salary,Seek a new job,Request a transfer,,Request a transfer,1,Yêu cầu chuyển công tác có thể giúp cải thiện môi trường làm việc.
A man is calling his colleague about a meeting with clients. When will the meeting start?,Multiple choice,at 9.15,at 10.15,at 11.15,,at 10.15,1,"Cuộc họp được lên kế hoạch lúc 10:15, nhưng anh ấy không tham gia được."
"A man is calling his friend, Maria. When will he see her?",Multiple choice,at 9 am on Sunday,at 10 am on Saturday,at 8 am on Sunday,,at 9 am on Sunday,1,Người đàn ông sẽ đến chỗ Maria lúc 9 giờ sáng Chủ Nhật.
Adam is calling his friend. When will he need the computer?,Multiple choice,Tuesday,Friday,Saturday,,Friday,1,Adam cần máy tính lại vào thứ Sáu để chuẩn bị cho bài thuyết trình thứ Bảy.
Listen to a weather forecast. Where will the weather be best?,Multiple choice,In the south,In the west,In the east,,In the east,1,Thời tiết tốt nhất là ở phía đông với trời nắng và nhiệt độ lý tưởng.
A man is talking about how he goes to work. Why does he prefer traveling by train?,Multiple choice,It's cheaper than biking,It's practical,It's faster than flying,,It's practical,1,"Đi tàu rất thuận tiện và đúng giờ, giúp anh ấy thư giãn trong suốt chuyến đi."
A woman is talking about her family's holidays. What did the family do last year?,Multiple choice,Traveled abroad,Camping,Went to the beach,,Camping,1,"Năm ngoái, gia đình cô ấy đã đi cắm trại trên núi."
A mom is talking to her son. What does he like to study?,Multiple choice,Art,Science,History,,Art,1,Cậu bé thích vẽ tranh và rất tài năng trong môn này.
Anne calls her daughter Sally. What does she need?,Multiple choice,Eggs,Bread,Milk,,Eggs,1,Anne cần mua trứng để làm bánh.
A teacher and a student are talking about transportation. How does the teacher go to school?,Multiple choice,He drives,He takes the bus,He walks,,He walks,1,"Giáo viên đi bộ đến trường mỗi ngày, thích tận hưởng không khí trong lành và tập thể dục."
A woman is talking about her weekends. What did she do last week?,Multiple choice,Went hiking,Stayed at home,Attended a party,,Stayed at home,1,Cô ấy đã ở nhà và thư giãn với một cuốn sách.
Listen to a conversation between the teacher and a parent. What will the father do?,Multiple choice,Enroll him in summer school,Arrange private classes for his son,Talk to the principal,,Arrange private classes for his son,1,Người cha quyết định tìm một gia sư riêng để giúp con trai mình học tốt hơn.
An artist is talking about her jobs. What is the difference in her job?,Multiple choice,She works from 9 to 5,She doesn't work on weekends,She works irregular hours,,She works irregular hours,1,"Cô ấy làm việc vào những giờ không đều, có thể làm việc muộn vào ban đêm hoặc cuối tuần."
Listen to an announcement. Which platform to wait for the train?,Multiple choice,Platform 2,Platform 5,Platform 8,,Platform 2,1,Thông báo cho biết chuyến tàu đến Greenfield sẽ dừng ở Platform 2.
A man is talking about his jobs. What does the man want to do next?,Multiple choice,Become a writer,Become a chef again,Start teaching history again,,Become a writer,1,Anh ấy muốn trở thành một nhà văn.
