Question,Type,Option 1,Option 2,Option 3,Option 4,Correct Answer,Points,Description
A woman is talking about her family's weekend. What does the family do most weekends?,Multiple choice,Goes for a walk,Goes picnic,Goes to the beach,,Goes for a walk,1,Gia đình thích đi dạo trong công viên vào cuối tuần.
Listen to a tour guide. Where is the office located?,Multiple choice,Next to the park,Opposite the hotel,Above a restaurant,,Opposite the hotel,1,Văn phòng đối diện khách sạn.
Greg is talking about a working day in his life. How does he go to work?,Multiple choice,By bus,By bike,On foot,,By bus,1,Greg đi làm bằng xe buýt.
A doctor is talking about healthy eating. What is the best time to eat fruit?,Multiple choice,In the evening,In the afternoon,In the morning,,In the morning,1,Thời gian tốt nhất để trẻ ăn trái cây là vào buổi sáng.
A man is talking about his holiday. How is he going to travel to the city?,Multiple choice,by car,by train,by bus,,by bus,1,Người đàn ông sẽ đi đến thành phố bằng xe buýt vì anh ấy cảm thấy đây là phương tiện rẻ và thú vị.
Two friends are talking about their trip. What will the weather be like?,Multiple choice,Cold and wet,Hot and sunny,Warm and dry,,Cold and wet,1,Thời tiết sẽ lạnh và ẩm ướt.
Listen to a voice message. How does Even feel?,Multiple choice,Sick,Happy,Tired,,Sick,1,Evan không cảm thấy khỏe.
Listen to an auction man talking about a cabinet. Which part of the cabinet is original?,Multiple choice,The drawer,The doors,The handles,,The drawer,1,Phần nguyên bản của chiếc tủ là ngăn kéo.
Anna is calling her friend. Where will they meet?,Multiple choice,At the marketplace,At the mall,At the park,,At the marketplace,1,Anna và bạn sẽ gặp nhau tại chợ.
Lucy is calling her brother. What does the brother have to drink?,Multiple choice,Milk,Medicine,Water,,Water,1,Lucy muốn anh mình uống đủ nước.
Jack is phoning his mom. What does Jack need to buy for his sister?,Multiple choice,Chocolates,Milk,Fruit,,Chocolates,1,Jack cần mua sô cô la cho sinh nhật của chị.
A man is talking on the phone. What did the man lose?,Multiple choice,Jacket,Glasses,Books,,Glasses,1,Người đàn ông đã làm mất kính.
